objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
68,147,42,003,561700,2,420035617002,Block Group 2,G5030,S,268306,0,+40.4108740,-079.9793742,7452.43022474,53,2871538.2,198927.41614216,87,2169,Mt. Oliver,53,66.226,0.103,4,18,7,7443.40029017,2871538.43198,15,Thomas Scharff,012c4b53-1895-4d57-a7d7-a6e89ff1d241,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:45,,2872019.74325562,7445.90071969556
69,57,42,003,250700,1,420032507001,Block Group 1,G5030,S,560320,0,+40.4599421,-080.0218657,11709.5188144,90,6050988,80995.80627227,29,2111,California-Kirkbride,15,139.552,0.217,1,25,3,11711.3012479,6050987.83948,15,Stephanie Joy Bermudo,2777139d-0808-4d42-9f1b-722586148225,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:01,,6050816.77789307,11709.5187847543
70,7,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,12055.4261462,7,17550592,80995.80627227,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.8198899,17550591.7727,15,Stephanie Joy Bermudo,5550547f-575f-40b0-b045-d8d3fd628bca,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:40,,17549348.473877,18197.745740909
71,149,42,003,202200,3,420032022003,Block Group 3,G5030,S,174657,0,+40.4580322,-080.0647449,7204.28883044,54,24807354,198927.41614216,32,2114,Sheraden,69,572.125,0.89,5,19,4,24066.4204273,24807353.4024,15,Thomas Scharff,4d9a985e-bab6-4a81-8814-c5a1eb749f19,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:26,,24791648.7580566,24066.0372005372
72,71,42,003,101800,2,420031018002,Block Group 2,G5030,S,797007,0,+40.4847864,-079.9385823,22835.1086419,31,20492582,136797.97928478,8,2090,Stanton Heights,79,472.615,0.735,2,19,13,24387.8186052,20492582.6295,15,Ose Akinlotan,5f8e6a28-d7ca-40a7-b56e-f419cbedf034,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:46,,20492989.5929565,24392.3188310157
73,97,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636,0,+40.4126628,-080.0211465,8417.87560804,42,40706528,198927.41614216,73,2155,Beechview,8,938.804,1.46,5,23,5,32676.1700079,40706529.2539,15,Thomas Scharff,5f560b22-ffcc-4d10-ac52-3b39c857ec89,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:43,,40708813.7505798,32690.8280721685
74,146,42,003,561700,1,420035617001,Block Group 1,G5030,S,807397,0,+40.4088032,-079.9721874,12303.6006998,52,8640989,198927.41614216,88,2170,St. Clair,78,199.285,0.31,4,23,7,12308.2185407,8640989.25732,15,Thomas Scharff,ac5b7e7f-873c-43a5-8824-30d206a31aca,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:48,,8641804.52282715,12276.9850785691
75,201,42,003,980600,1,420039806001,Block Group 1,G5030,S,982752,473795,+40.4518148,-080.0280506,19600.6831159,64,10688264,80995.80627227,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.9761334,10688263.843,15,Stephanie Joy Bermudo,b685a912-54de-4e6c-8b17-9128949d51bc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:18,,10687956.96875,19600.573084523
76,167,42,003,070900,2,420030709002,Block Group 2,G5030,S,136793,0,+40.4510923,-079.9473004,5126.46143374,58,25673624,136797.97928478,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,15,Ose Akinlotan,08cfd3ac-e8f8-4d3d-86fc-534367f67428,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:24,,25673092.7249756,25089.4647387342
77,10,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,20906.8295034,9,12232021,80995.80627227,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.9344121,12232020.2959,15,Stephanie Joy Bermudo,4befade5-a016-4fa2-be19-5c89a8d15d0b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:54,,11332077.9349365,21174.4733263514
78,2,42,003,040200,2,420030402002,Block Group 2,G5030,S,282679,0,+40.4412437,-079.9626107,8260.91550164,3,5999801.5,136797.97928478,62,2144,West Oakland,88,138.372,0.215,3,21,14,18271.4263855,5999801.02567,15,Ose Akinlotan,94b8a7c9-e11f-451b-8497-2599b201472e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:11,,5998648.88574219,18280.4833746047
79,123,42,003,563000,2,420035630002,Block Group 2,G5030,S,574770,0,+40.4597668,-080.0778300,10840.3731335,49,11563175,198927.41614216,26,2108,Windgap,90,266.678,0.415,5,6,4,20989.2386707,11563174.9172,15,Thomas Scharff,f609f531-3c00-4791-827e-417ca99b4f94,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:15,,11561248.1781006,20988.2187048
80,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,7283.45492128,28,7653279.5,80995.80627227,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.6918846,7653278.96663,15,Stephanie Joy Bermudo,5fc29202-a6fa-4de4-bb84-3ab76948246a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:38,,7656110.67382813,21431.6262122784
81,54,42,003,141400,3,420031414003,Block Group 3,G5030,S,294702,0,+40.4266034,-079.9185733,8635.64213031,26,74470128,136797.97928478,64,2146,Squirrel Hill South,77,1717.485,2.671,3,23,10,50122.6510966,74470126.2694,15,Ose Akinlotan,03acfeaa-1190-41a6-861a-fa8a3608303f,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:45,,74472403.0085144,50282.018973433
82,5,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129,329216,+40.4544996,-079.9812762,24019.5328648,5,16947852,136797.97928478,28,2110,Strip District,80,390.864,0.608,1,23,13,23903.0778522,16947852.9683,15,Ose Akinlotan,5e353b5c-a9d4-4b0a-a1aa-31d3bf847639,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:50,,16948729.0869141,24019.5259644422
83,83,42,003,141100,1,420031411001,Block Group 1,G5030,S,1226338,163168,+40.4196414,-079.9075532,20791.5444695,37,13379806,136797.97928478,79,2161,Swisshelm Park,82,308.575,0.48,3,57,10,20826.3192349,13379806.3379,15,Ose Akinlotan,bf45c180-f5c3-4f36-832a-183412108101,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:56,,13379301.1634827,20794.4403209657
84,8,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,8208.50481027,8,25220622,80995.80627227,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.6985333,25220621.1697,15,Stephanie Joy Bermudo,7a61f76c-ac3a-4c10-95e1-96a19d799108,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:04,,25224200.9650269,26390.5493144487
85,93,42,003,101100,3,420031011003,Block Group 3,G5030,S,249635,0,+40.4818107,-079.9477736,10342.017761,41,11288746,136797.97928478,7,2089,Upper Lawrenceville,86,260.349,0.405,2,57,13,19192.7838984,11288745.6344,15,Ose Akinlotan,157cd4d5-485c-4a3d-808f-df4b489f95dc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:05,,11290028.6744385,19198.8638240729
86,215,42,003,141000,1,420031410001,Block Group 1,G5030,S,507903,0,+40.4328896,-079.8976172,16004.734351,69,5362860,136797.97928478,69,2151,Regent Square,66,123.682,0.192,3,19,10,15999.7778626,5362859.97196,15,Ose Akinlotan,93ce438e-e3ec-410d-a7fd-619646e25dc3,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:20,,5362506.00018311,16007.5089795317
87,211,42,003,051100,1,420030511001,Block Group 1,G5030,S,183645,0,+40.4416579,-079.9764621,6208.94140454,67,9529806,136797.97928478,56,2138,Terrace Village,83,219.783,0.342,3,94,15,19562.5780689,9529806.36398,15,Ose Akinlotan,2858633a-175e-459b-a4c9-9aac92bfe033,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:58,,9519744.5098877,19569.1028321299
88,153,42,003,562600,2,420035626002,Block Group 2,G5030,S,579141,0,+40.4400199,-080.0409711,11480.1400026,57,16904768,198927.41614216,50,2132,Elliott,30,389.87,0.606,5,25,4,21609.7993427,16904767.616,15,Thomas Scharff,fbc3ab11-0429-476e-80fd-700f969b204a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:44,,16906458.7152405,21634.5588169742
89,16,42,003,170200,1,420031702001,Block Group 1,G5030,S,406640,81747,+40.4302576,-079.9922422,12037.8994561,15,26083320,198927.41614216,72,2154,South Side Flats,72,601.553,0.936,4,81,7,34676.3550984,26083318.9691,15,Thomas Scharff,39308990-70d5-4da6-b2a0-a5510f18e9b9,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:33,,26082183.0004578,34676.1513199032
90,31,42,003,250900,2,420032509002,Block Group 2,G5030,S,384629,0,+40.4641570,-080.0039415,13652.2147116,19,6958774,80995.80627227,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.555901,6958774.07065,15,Stephanie Joy Bermudo,c4f5d2e1-bcd6-4207-bdea-1c369a80ba1d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:50,,6962440.08068848,12620.5490348102
